,annual_return,annual_vol,sharpe
NVDA,0.7692861717102613,0.5082363469614657,1.4349350967721233
WMT,0.34331080470721015,0.2186093765078888,1.3874556048434858
AVGO,0.6642631433205977,0.47349421535936687,1.318417676648493
CAT,0.4141587474913385,0.32272994956445317,1.1593555168842935
GE,0.4235746995306462,0.3420178185269457,1.1215050174364716
GS,0.37167238523631985,0.2975634110886178,1.114627581472186
JPM,0.3127530061666788,0.2601489395809336,1.048449425187159
GOOGL,0.3431906258944461,0.3192061735414526,0.9498269489298374
META,0.43580270404874905,0.4338689509431652,0.9122632610338539
LLY,0.3482904383079318,0.33796960283804023,0.9121839234035167
MS,0.3097701575010793,0.30501585711614104,0.8844463368288383
SPY,0.18210000352045982,0.17485284987277672,0.8126833713253863
ORCL,0.34969440498792614,0.4442044773063045,0.6971888416477487
WFC,0.2521468041417332,0.31152013721993366,0.6810051062347768
AMZN,0.26845579429567945,0.3472678933203702,0.6578661566185121
AAPL,0.211344935991155,0.2770518545493645,0.6184580004701796
XOM,0.1779271583460844,0.27833666715415695,0.49554074120494285
MSFT,0.17292281347839003,0.2696426726673199,0.4929591157197426
BAC,0.17878110044838794,0.28201528471249077,0.4921048892434062
BA,0.2034263789184599,0.3528709632985192,0.4631335414815802
TSLA,0.290713333255618,0.5925445786902425,0.42311303195076644
KO,0.10954507164056154,0.16600420874970026,0.4189355930452402
JNJ,0.11318883249557814,0.17999861194892774,0.4066077604884226
MCD,0.09311133004230727,0.17969111590302797,0.2955701497839732
CVX,0.09026236660342686,0.27258329034895973,0.1843926916396131
HD,0.0849767725853807,0.24930437157352472,0.1804090810823033
HON,0.0752588338719588,0.22555666567534716,0.15631918376869544
CRM,0.06407512716510219,0.3645574461454524,0.06603932362280324
UNH,0.006440209855774061,0.3508008424031694,-0.09566621879903085
PFE,-0.10459553099997694,0.2672027629131705,-0.5411453437963301
NKE,-0.16610778795782746,0.37637587671146205,-0.5476115785067548
