date,SPY
2020-02-29,100000.0
2020-03-31,85492.1015620143
2020-04-30,98289.60039976056
2020-05-31,103701.0695080529
2020-06-30,105814.90507837443
2020-07-31,112915.50327249212
2020-08-31,121826.44120442725
2020-09-30,116711.82089288459
2020-10-31,113446.95333116197
2020-11-30,127335.34803683711
2020-12-31,132574.7762197213
2021-01-31,131085.0582065281
2021-02-28,135108.46984845932
2021-03-31,141852.3959240377
2021-04-30,150051.71002814826
2021-05-31,151123.0557909171
2021-06-30,154796.87245237693
2021-07-31,158882.8444308202
2021-08-31,163985.4218775843
2021-09-30,155777.54482741363
2021-10-31,167550.61815477506
2021-11-30,166107.8203939659
2021-12-31,174333.09703772896
2022-01-31,164538.49435256113
2022-02-28,159345.98642206096
2022-03-31,165749.0368640693
2022-04-30,150249.71349320887
2022-05-31,150613.34544918517
2022-06-30,137278.96162353456
2022-07-31,150862.37468871343
2022-08-31,144289.62933391618
2022-09-30,130055.74516985328
2022-10-31,141406.53622575835
2022-11-30,149801.35138146908
2022-12-31,140625.07942230222
2023-01-31,150028.68000426976
2023-02-28,146032.63850956253
2023-03-31,151755.42349242297
2023-04-30,154312.577247353
2023-05-31,155063.30128549764
2023-06-30,165647.10261576498
2023-07-31,171320.54313320154
2023-08-31,168411.48748539118
2023-09-30,160088.30391498675
2023-10-31,156459.80439728787
2023-11-30,171396.08473953983
2023-12-31,179535.18451975755
2024-01-31,182495.07044098392
2024-02-29,192348.3234416318
2024-03-31,198833.093323209
2024-04-30,190586.85896671438
2024-05-31,200514.40236697035
2024-06-30,207790.56050542498
2024-07-31,210367.26436551506
2024-08-31,215399.46143370305
2024-09-30,220023.25680509838
2024-10-31,218021.32603671277
2024-11-30,231280.2073562354
2024-12-31,225608.95645057678
2025-01-31,231763.32955494968
2025-02-28,228776.07348649928
2025-03-31,215836.05438213653
2025-04-30,213939.69418161505
2025-05-31,227566.1174781459
2025-06-30,239382.6311391729
2025-07-31,244946.59106771334
2025-08-31,250017.8883462214
2025-09-30,258995.7267380141
2025-10-31,265204.84013683506
2025-11-30,265724.87293409155
2025-12-31,265929.52343490656
2026-01-31,269859.0945720697
2026-02-28,267520.90199493186
2026-03-31,254284.30779529165
2026-04-30,278272.2868266309
